Rk,Team,Age,W,L,PW,PL,MOV,SOS,SRS,ORtg,DRtg,NRtg,Pace,FTr,3PAr,TS%,,eFG%,TOV%,ORB%,FT/FGA,,eFG%,TOV%,DRB%,FT/FGA,,Arena,Attend.,Attend./G
1,OKC,24.7,67,14,67,14,12.84,-0.07,12.77,120.4,107.6,+12.8,100.0,.219,.418,.594,,.561,10.4,24.1,.179,,.515,14.9,74.6,.210,,Paycom Center,754832,17973
2,CLE,26.6,64,17,62,19,9.75,-0.77,8.98,122.1,112.4,+9.7,99.8,.242,.456,.609,,.580,11.6,25.9,.188,,.529,12.7,74.7,.181,,Rocket Arena,777280,19432
3,BOS,28.9,60,21,61,20,9.14,-0.72,8.41,120.7,111.3,+9.4,95.8,.213,.536,.592,,.562,10.7,25.6,.170,,.523,11.6,76.2,.154,,TD Garden,766240,19156
4,MIN,27.2,48,33,53,28,4.93,0.25,5.18,116.6,111.5,+5.1,97.3,.250,.455,.588,,.554,13.0,25.7,.198,,.532,13.2,75.0,.179,,Target Center,753271,18832
5,HOU,24.9,52,29,52,29,4.75,0.41,5.16,115.3,110.5,+4.8,98.6,.243,.384,.553,,.523,11.9,31.7,.180,,.528,12.8,76.2,.185,,Toyota Center,698798,17470
6,LAC,29.7,49,32,52,29,4.65,0.15,4.80,114.9,110.2,+4.7,97.6,.252,.387,.588,,.553,13.4,24.4,.201,,.535,13.6,77.4,.189,,Intuit Dome,679593,16575
7,MEM,24.7,47,34,51,30,4.48,-0.03,4.45,117.6,113.2,+4.4,103.3,.251,.406,.587,,.554,13.2,28.5,.197,,.534,12.8,74.9,.206,,FedEx Forum,665273,16632
8,NYK,27.5,50,31,50,31,4.05,-0.43,3.62,118.5,114.4,+4.1,96.7,.231,.381,.589,,.557,11.9,26.0,.185,,.548,13.0,74.4,.175,,Madison Square Garden (IV),811794,19800
9,DEN,27.0,49,32,49,32,3.75,0.02,3.78,119.8,116.1,+3.7,99.9,.258,.356,.604,,.573,12.5,26.7,.199,,.542,11.3,74.7,.174,,Ball Arena,811211,19786
10,GSW,28.6,48,33,49,32,3.41,0.20,3.61,115.0,111.5,+3.5,98.8,.244,.469,.567,,.535,12.3,27.5,.186,,.540,14.0,75.6,.189,,Chase Center,722560,18064
11,MIL,29.4,47,34,46,35,2.42,-0.38,2.04,115.7,113.3,+2.4,99.3,.268,.423,.597,,.567,12.1,19.4,.201,,.532,11.4,76.3,.175,,Fiserv Forum,714218,17428
12,IND,25.8,49,32,46,35,2.16,-0.66,1.50,116.7,114.6,+2.1,99.8,.242,.401,.595,,.564,11.8,21.3,.191,,.547,13.1,74.5,.191,,Gainbridge Fieldhouse,685434,16737
13,DET,25.8,44,37,45,36,2.01,-0.20,1.81,114.9,112.9,+2.0,99.8,.250,.392,.580,,.547,13.0,26.2,.194,,.537,13.2,76.0,.214,,Little Caesars Arena,781929,19071
14,LAL,27.9,50,31,44,37,1.58,0.24,1.82,116.2,114.6,+1.6,97.7,.273,.426,.594,,.558,12.7,23.2,.214,,.540,12.2,74.9,.179,,Crypto.com Arena,767626,18723
15,MIA,26.8,37,44,42,39,0.58,-0.31,0.27,113.5,112.9,+0.6,96.2,.233,.430,.577,,.543,12.5,22.3,.185,,.542,12.6,75.7,.157,,Kaseya Center,788369,19709
16,SAC,27.8,39,42,41,40,0.35,0.14,0.49,116.7,116.3,+0.4,98.3,.238,.391,.582,,.547,11.8,25.3,.191,,.557,12.5,76.9,.202,,Golden 1 Center,678577,16964
17,ORL,24.9,41,40,41,40,0.02,-0.57,-0.55,109.4,109.4,0.0,96.1,.270,.411,.549,,.510,12.9,25.3,.209,,.537,15.0,77.0,.222,,Kia Center,762121,18588
18,Dallas Mavericks,27.5,39,42,39,42,-0.78,0.38,-0.40,115.0,115.8,-0.8,99.2,.263,.390,.584,,.551,12.5,23.4,.203,,.539,11.6,73.2,.180,,American Airlines Center,783197,19580
19,ATL,24.9,39,42,37,44,-1.30,-0.27,-1.57,114.5,115.8,-1.3,102.7,.254,.410,.579,,.545,13.2,26.3,.197,,.561,13.8,76.0,.203,,State Farm Arena,639899,16408
20,CHI,25.2,38,43,36,45,-1.83,-0.19,-2.01,114.1,115.9,-1.8,102.8,.215,.458,.586,,.554,12.7,22.2,.174,,.540,10.7,76.5,.178,,United Center,825659,20138
21,PHO,29.1,36,45,33,48,-2.90,0.44,-2.46,116.3,119.2,-2.9,97.1,.243,.439,.596,,.561,12.8,22.6,.197,,.551,10.9,74.1,.193,,Footprint Center,699911,17071
22,San Antonio Spurs,26.0,33,48,33,48,-2.88,0.36,-2.51,114.3,117.2,-2.9,99.3,.232,.442,.575,,.544,12.3,24.3,.179,,.551,12.0,73.0,.159,,Frost Bank Center,712802,17958
23,POR,23.8,35,46,32,49,-3.36,0.31,-3.05,111.6,115.0,-3.4,98.9,.246,.418,.555,,.521,13.8,29.0,.188,,.544,13.6,72.5,.205,,Moda Center,700034,17501
24,TOR,24.5,30,51,30,51,-4.26,-0.07,-4.33,110.4,114.7,-4.3,99.7,.233,.373,.553,,.522,13.3,27.4,.174,,.540,13.2,73.9,.221,,Scotiabank Arena,768573,18746
25,Philadelphia 76ers,27.2,24,57,26,55,-6.06,-0.04,-6.10,112.1,118.3,-6.2,97.3,.258,.425,.564,,.528,12.3,23.5,.201,,.571,14.3,71.8,.195,,Wells Fargo Center,793562,19839
26,Brooklyn Nets,24.7,26,55,23,58,-7.10,0.12,-6.98,108.5,115.8,-7.3,96.4,.239,.458,.551,,.515,13.7,24.6,.189,,.557,13.7,75.0,.218,,Barclays Center,695378,17384
27,CHO,25.1,19,62,19,62,-9.14,-0.09,-9.22,107.4,116.7,-9.3,97.7,.222,.430,.538,,.504,13.7,26.4,.174,,.548,11.9,74.5,.191,,Spectrum Center,703935,17169
28,Utah Jazz,23.9,17,64,20,61,-9.32,0.77,-8.55,111.2,120.5,-9.3,100.1,.254,.449,.568,,.533,14.9,27.0,.197,,.560,10.3,74.2,.186,,Delta Center,745175,18175
29,New Orleans Pelicans,25.9,21,60,20,61,-9.36,0.69,-8.67,110.5,120.0,-9.5,99.1,.243,.385,.553,,.520,12.9,26.4,.183,,.565,12.3,72.7,.189,,Smoothie King Center,671639,16791
30,WAS,23.5,17,64,14,67,-12.60,0.31,-12.29,106.6,119.1,-12.5,100.9,.230,.436,.545,,.510,13.6,22.8,.179,,.548,11.5,71.8,.204,,Capital One Arena,663691,16084
,League Average,26.5,,,41,40,0.00,0.00,0.00,114.6,114.6,,98.9,.243,.421,.576,,.543,12.6,25.2,.190,,.543,12.6,74.8,.190,,,734086,18132
